"Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",2226.57161056703,0.830823045922971,0.335892216188273,2.47348109268862,0.0133803884050459,0.020974454110681
"TNMD",29.2241374912561,-0.860516546181554,0.547793664356381,-1.570877142569,0.116211188865781,0.15553476368973
"DPM1",856.491365709852,-0.253796693779384,0.269310153908288,-0.942395561757442,0.345990158670034,0.413946677086811
"SCYL3",612.321541047276,-0.236309419116313,0.148460872757032,-1.59172861325591,0.11144569623865,0.149609765982591
"C1orf112",300.434022897918,-1.14655765660008,0.188803215899699,-6.07276550421251,1.25725984707168e-09,4.1802350233725e-09
"FGR",356.366435184805,-0.861825444778903,0.292368648179452,-2.94773550497086,0.00320110821272778,0.00549517311741409
"CFH",2014.1450363442,0.488551432670849,0.347868437193051,1.40441437174631,0.160195493718497,0.20776002170875
"FUCA2",1466.8537809985,1.59399865219273,0.177463321633703,8.98213015240891,2.65574423217095e-19,1.749477266288e-18
"GCLC",1988.12915657077,-0.533300487981707,0.186732578699217,-2.85595846047159,0.00429071266709276,0.007236864948358
"NFYA",1168.90552925062,-0.0989666910942971,0.154388060917281,-0.641025546316837,0.521506085444249,0.592528436292698
"STPG1",375.93820457946,1.57255879693856,0.197830414077488,7.94902444233173,1.87985964099865e-15,9.5679519221155e-15
"NIPAL3",1856.11425022628,0.748311163613611,0.167413650718026,4.4698336151452,7.82804692735741e-06,1.83307087055726e-05
"LAS1L",1372.67521880845,-0.329072256911268,0.127199950304074,-2.58704705563652,0.00968023715342569,0.0155081267049528
"ENPP4",958.555305757076,0.361645058116113,0.233398422825989,1.54947515813223,0.121267538747593,0.161641855372282
"SEMA3F",643.322859697071,0.286434691293469,0.268602453563528,1.06638896068655,0.28624784988691,0.35027624667444
"CFTR",7508.20767786936,-0.464734829964359,0.43935948540363,-1.05775531291288,0.290167010627286,0.354387509605524
"ANKIB1",2414.93023944228,-0.773461404623229,0.133412092121867,-5.79753598284554,6.72963446961784e-09,2.11329648207348e-08
"CYP51A1",1361.90317410344,6.68110608762296,0.304766351519641,21.9220594869129,1.6005045132581e-106,2.81644335874724e-104
"KRIT1",649.337376644495,0.527183138510723,0.144872230787378,3.63895230746081,0.000273749486273187,0.000538635825322293
"RAD52",490.824734992861,-0.745932465591962,0.170995161203327,-4.36230160165169,1.28701280186251e-05,2.94517499089668e-05
NA,39.4571856830077,-7.54416842444983,0.791681475369578,-9.52929765209931,1.58350903786751e-21,1.19470382154315e-20
"BAD",653.210747220664,3.91333849394609,0.200599311170922,19.5082349540657,9.34534885640001e-85,9.2504351570772e-83
"LAP3",2104.12861413333,1.18916527271184,0.24643346044601,4.82550247259288,1.39650732254069e-06,3.51904291499414e-06
"CD99",4500.02359471209,0.153890795587092,0.231634322533849,0.664369571416185,0.506453803110885,0.578295753912664
"HS3ST1",369.641438378705,-0.701839010552213,0.268803593555106,-2.61097331799001,0.00902849376350648,0.0145357900647328
"AOC1",8333.59415254181,4.09379117921448,0.331929339790926,12.3333212478085,5.99248570983524e-35,9.71733710882412e-34
"WNT16",20.0582755032901,-0.692171506500443,0.675003609499176,-1.02543378547858,0.30515855347909,0.370506504112317
"HECW1",188.824354119519,-4.39191812910835,0.448747510769692,-9.78705847654805,1.27964468696149e-22,1.03841363260901e-21
